Movie,Date,Attendance
MEN,08.02.23,10
Vortex,07.02.23,2
Triangle of Sadness,01.02.23,25
Wo in Paris die Sonne aufgeht,31.01.23,4
Top Gun Maverick,26.01.23,2
The other Side of the River,25.01.23,8
Tomorrow,24.01.23,9
Der beste Film aller Zeiten,18.01.23,1
Rabiye Kurnaz vs. George W. Bush,17.01.23,3
Blutsauger ,12.01.23,9
Tiger and Dragon,11.01.23,0
Everything Everywhere All At Once,10.01.23,68
Das Licht aus dem die Träume sind,14.12.22,5
Electrical Life of Louis Wain,13.12.22,10
Die Odyssee,08.12.22,0
Moneyboys,07.12.22,3
L'Événement,06.12.22,6
Dogville,30.11.22,7
Massive Talent,29.11.22,7
Come on Come on,23.11.22,8
River,22.11.22,10
Elvis,15.11.22,34
Der schlimmste Mensch der Welt,08.11.22,16
Revolution of our Times,02.11.22,30
The Innocents ,26.10.22,14
The Batman ,25.10.22,20
Spencer,14.07.22,13
Petite Maman,13.07.22,6
Drive My Car,12.07.22,23
Ruben Brandt,06.07.22,3
Spiderman: No way Home,05.07.22,25
Heat Singers,30.06.22,18
Are you lonesome tonight,29.06.22,3
Fabian oder der Gang vor die Hunde,28.06.22,2
Prinzessin Mononoke,23.06.22,33
Die Unbeugsamen,22.06.22,14
The Suicide Squad,28.04.22,12
Druk ,27.04.22,3
Titane ,26.04.22,3
Rear Window,21.04.22,16
La Casa Lobo,20.04.22,0
Encanto,19.04.22,11
Booksmart,14.04.22,4
The Green Knight,13.04.22,2
The Naked Gun I: From the Files of Police Squad! ,12.04.22,7
The Father ,07.04.22,0
Berlin Alexanderplatz,06.04.22,0
Dune ,05.04.22,40
Psycho Goreman,21.06.22,7
Für Sama,15.06.22,15
Annette,31.05.22,3
Bergman Island,18.05.22,1
Thelma,17.05.22,0
Benedetta,12.05.22,5
Joker ,11.05.22,24
Pleasure,10.05.22,4
Lamb 2021,05.05.22,19
The Nightingale,04.05.22,3
Gefangen im Netz,03.05.22,12
Blue My Mind,16.04.19,17
The Favourite,02.07.19,38
Perfect Blue,04.07.19,24
Beautiful Boy,09.07.19,20
Transit,17.04.19,14
Dave made a Maze,23.04.19,19
Soylent Green,24.04.19,31
McQueen,25.04.19,54
Why Are We Creative,30.04.19,55
Leave no Trace,02.05.19,17
Spiderman A new Universe,07.05.19,96
American Animals,09.05.19,24
Mula Fuhaz,14.05.19,23
Mandy,16.05.19,30
Mid 90s,23.05.19,37
Boys for Sale,27.05.19,112
Styx,28.05.19,13
Astrid,05.06.19,49
Dogman,06.06.19,5
"Love, Simon",18.06.19,77
The House That Jack Built,19.06.19,29
Phantastische Tierwesen,25.06.19,59
The End of Meat,26.06.19,38
Requiem for a dream,10.04.19,17
Kingsman: The golden Circle,10.04.18,78
Theheran Tabu,17.04.18,17
Detroit,18.04.18,9
The Square ,25.04.18,27
Badlands,26.04.18,3
Hausu,02.05.18,35
Birdboy,08.05.18,37
The Big Sick,10.05.18,11
Wild,09.05.18,3
Blade Runner 2049,15.05.18,98
Freeheld,16.05.18,13
Mother,29.05.18,32
Hero ,30.05.18,11
Your Name ,05.06.18,91
Aus dem Nichts,06.06.18,39
Die Vierhändige ,20.06.18,3
Louis Vincent,26.06.18,112
"I, Tonya",27.06.18,29
Call me by your name,04.07.18,122
