Semester	Beginn	Ende
Sommersemester 2023	01.04.2023	30.09.2023
Wintersemester 2022/23	01.10.2022	31.03.2023
Sommersemester 2022	01.04.2022	30.09.2022
Wintersemester 2021/22	01.10.2021	31.03.2022
Sommersemester 2021	01.04.2021	30.09.2021
Wintersemester 2020/21	01.10.2020	31.03.2021
Sommersemester 2020	01.04.2020	30.09.2020
Wintersemester 2019/20	01.10.2019	31.03.2020
Sommersemester 2019	01.04.2019	30.09.2019
Wintersemester 2018/19	01.10.2018	31.03.2019
Sommersemester 2018	01.04.2018	30.09.2018
Wintersemester 2017/18	01.10.2017	31.03.2018
