Date,Titel,Attendance
2016-04-12,Mad Max,78
2016-04-13,Taxi Teheran,29
2016-04-19,Gone Girl,94
2016-04-20,Von Caligari zu Hitler,5
2016-04-26,Berandal,22
2016-04-27,Her,65
2016-05-03,Inside Out,140
2016-05-04,The Lobster,61
2016-05-10,Spotlight,61
2016-05-11,Malala,100
2016-05-24,Star Wars,114
2016-05-25,The Hours,17
2016-05-31,Ich und Earl und das Mädchen,19
2016-06-01,Mustang,34
2016-06-07,Legend,73
2016-06-08,Der Kuaför aus der Keupstraße,25
2016-06-14,Die Melodie des Meeres,62
2016-06-15,Krigen,7
2016-06-21,The Hateful 8,76
2016-06-22,Night Moves,12
2016-06-28,Deathgasm,28
2016-06-29,Suffragette,48
2016-07-05,The Revenant,49
2016-07-06,Das brandneue Testament,68
2016-07-12,Der Bunker,38
