Date,Titel,Attendance
2018-10-23,Black Panther,102
2018-10-24,1000 Arten Regen zu beschreiben,44
2018-10-25,System Error,29
2018-10-30,You were never really here,29
2018-10-31,Hereditary,54
2018-11-06,Isle of Dogs,60
2017-11-07,A Ghost Story,100
2017-11-08,Wildes Herz,67
2018-11-13,The Cleaners,47
2018-11-14,"Night is short, walk on girl!",29
2018-11-15,Fetisch Karl Marx,10
2018-11-20,Ready Player One,78
2018-11-21,2001: A Space Odyssey,49
2018-11-22,Hamburger Gitter,105
2018-11-27,Die Grüne Lüge,110
2018-11-28,The Anthem of the Heart,50
2018-12-04,The Girl Without Hands,12
2018-12-05,Landrauschen,9
2018-12-06,Der Zauberer von Oz,34
2018-12-11,The Death of Stalin,55
2018-12-12,In den Gängen,16
2018-12-13,Einer flog übers Kuckucksnest,31
2018-12-18,The Little Prince,56
2018-12-19,Foxtrot,2
2018-01-08,Molly's Game,16
2018-01-09,Bad Banks ½,5
2018-01-10,Bad Banke 2/2,3
2018-01-15,Christopher Robin,44
2018-01-16,Dora oder die sexuellen Neuroen,15
2018-01-17,Wer erschoß Salvatore G.?,6
2018-01-22,Tully,10
2018-01-23,Sicario 2,4
2019-01-24,Berlin – Sinfonie der Großstadt,175
2018-01-29,Mary and the Witch's Flower,78
2018-01-30,Drachenläufer,26
2018-01-31,Taxi Driver,21
2018-02-05,"Utoya, 22. Juli",32
2018-02-06,Under the Silver Lake,16
