,OG_Title,TMDB_Title,Release_Date,Rating,Genre,Budget,Runtime,Original_Language,MovieAge,Semester,Weekday,Date,Attendance
0,Elementarteilchen,The Elementary Particles,2006-02-10,6.2,"['Drama', 'Romance']",6000000.0,105.0,de,250 days,Wintersemester 0607,Wednesday,2006-10-18,117
1,Match Point,Match Point,2005-10-26,7.365,"['Drama', 'Thriller', 'Crime', 'Romance']",15000000.0,124.0,en,363 days,Wintersemester 0607,Tuesday,2006-10-24,110
2,"Good night, and good luck","Good Night, and Good Luck.",2005-09-16,7.084,"['Drama', 'History']",7000000.0,92.0,en,404 days,Wintersemester 0607,Wednesday,2006-10-25,107
3,Fahrstuhl des Grauens,Down,2001-09-06,5.096,"['Action', 'Horror', 'Mystery', 'Thriller']",15000000.0,111.0,en,1881 days,Wintersemester 0607,Tuesday,2006-10-31,32
4,War Photographer,War Photographer,2001-11-01,7.5,['Documentary'],0.0,96.0,en,1832 days,Wintersemester 0607,Tuesday,2006-11-07,87
5,Der Tintenfisch und der Wal,The Squid and the Whale,2005-10-05,6.9,"['Comedy', 'Drama']",1500000.0,81.0,en,406 days,Wintersemester 0607,Wednesday,2006-11-15,33
6,Die Bluthochzeit,The Wedding Party,2005-04-21,4.92,"['Comedy', 'Action']",0.0,92.0,de,580 days,Wintersemester 0607,Wednesday,2006-11-22,31
7,Grande École,Grande école,2004-02-04,6.0,"['Comedy', 'Drama', 'Romance']",0.0,110.0,fr,1028 days,Wintersemester 0607,Tuesday,2006-11-28,37
8,Garden State,Garden State,2004-07-28,7.083,"['Comedy', 'Drama', 'Romance']",2500000.0,102.0,en,861 days,Wintersemester 0607,Wednesday,2006-12-06,53
9,Workingman's Death,Workingman's Death,2005-11-25,7.2,['Documentary'],0.0,122.0,en,382 days,Wintersemester 0607,Tuesday,2006-12-12,57
10,Walk the Line,Walk the Line,2005-09-13,7.493,"['Drama', 'Music', 'Romance']",28000000.0,136.0,en,456 days,Wintersemester 0607,Wednesday,2006-12-13,196
11,Das Leben der Anderen,The Lives of Others,2006-03-23,8.027,"['Drama', 'Thriller']",2000000.0,137.0,de,271 days,Wintersemester 0607,Tuesday,2006-12-19,133
12,Noi Albinoi,Noi the Albino,2003-02-28,6.973,['Drama'],0.0,90.0,is,1412 days,Wintersemester 0607,Wednesday,2007-01-10,60
13,Esmas Geheimnis,Grbavica: The Land of My Dreams,2006-03-01,6.938,"['Drama', 'History']",0.0,90.0,bs,321 days,Wintersemester 0607,Tuesday,2007-01-16,31
14,Sex in Brno,Boredom in Brno,2003-04-22,6.68,"['Drama', 'Comedy', 'Romance']",0.0,103.0,cs,1366 days,Wintersemester 0607,Wednesday,2007-01-17,34
15,Bin Jip,3-Iron,2004-10-15,7.808,"['Drama', 'Romance', 'Crime']",0.0,88.0,ko,831 days,Wintersemester 0607,Wednesday,2007-01-24,93
16,We feed the world,We Feed the World,2005-09-10,7.3,['Documentary'],0.0,96.0,de,507 days,Wintersemester 0607,Tuesday,2007-01-30,205
17,Stay,Stay,2005-09-24,6.582,"['Mystery', 'Thriller', 'Drama']",50000000.0,99.0,en,494 days,Wintersemester 0607,Wednesday,2007-01-31,70
18,Das wandelnde Schloß,Howl's Moving Castle,2004-09-09,8.4,"['Fantasy', 'Animation', 'Adventure']",24000000.0,119.0,ja,880 days,Wintersemester 0607,Tuesday,2007-02-06,28
19,Private,Private,2004-08-12,6.6,['Drama'],0.0,90.0,en,909 days,Wintersemester 0607,Wednesday,2007-02-07,9
20,Volver,Volver,2006-03-17,7.47,"['Comedy', 'Drama', 'Romance']",12899867.0,121.0,es,333 days,Wintersemester 0607,Tuesday,2007-02-13,108
21,Maze Runner,The Maze Runner,2014-09-10,7.181,"['Action', 'Mystery', 'Science Fiction', 'Thriller']",34000000.0,113.0,en,216 days,Sommersemester 15,Tuesday,2015-04-14,12
22,The Zero Theorem,The Zero Theorem,2013-09-20,6.1,"['Drama', 'Fantasy', 'Science Fiction']",8500000.0,107.0,en,578 days,Sommersemester 15,Tuesday,2015-04-21,20
23,Heute gehe ich allein nach Hause,The Way He Looks,2014-04-10,7.9,"['Drama', 'Romance']",0.0,96.0,pt,377 days,Sommersemester 15,Wednesday,2015-04-22,20
24,Ein Schotte macht noch keinen Sommer,What We Did on Our Holiday,2014-09-26,6.732,['Comedy'],0.0,95.0,en,214 days,Sommersemester 15,Tuesday,2015-04-28,15
25,Good Vibrations,Good Vibrations,2012-05-31,6.722,"['Music', 'Drama']",0.0,111.0,en,1069 days,Sommersemester 15,Tuesday,2015-05-05,8
26,Ida,Ida,2013-10-25,7.24,['Drama'],2159280.0,82.0,pl,558 days,Sommersemester 15,Wednesday,2015-05-06,15
27,Eine Taube sitzt auf einem Zweig und denkt über das Leben nach,A Pigeon Sat on a Branch Reflecting on Existence,2014-10-24,6.9,"['Drama', 'Comedy']",0.0,100.0,sv,200 days,Sommersemester 15,Tuesday,2015-05-12,19
28,Das Mädchen Hirut,Difret,2014-08-10,6.209,['Drama'],0.0,96.0,am,276 days,Sommersemester 15,Wednesday,2015-05-13,28
