,OG_Title,TMDB_Title,Release_Date,Rating,Genre,Budget,Runtime,Original_Language,MovieAge,Semester,Weekday,Date,Attendance
0,Kurzfilme,Verführung von Engeln - Kurzfilme von Jan Krüger,2007-06-21,6.954227272727272,,0.0,80.0,en,-204 days,Wintersemester 0607,Wednesday,2006-11-29,72
1,Underground,Underground,2007-01-01,7.3,['Action'],0.0,95.0,en,-12 days,Wintersemester 0607,Wednesday,2006-12-20,21
2,Sympathy for Mr.Vengeance + Oldboy,,,6.954227272727272,,,,,,Wintersemester 0607,Tuesday,2007-01-23,43
3,Einer nach dem anderen,Ravage,2020-08-14,5.3,"['Horror', 'Thriller']",0.0,84.0,en,-1914 days,Sommersemester 15,Tuesday,2015-05-19,14
4,Die drei ??? und der seltsame Wecker,Die drei ??? LIVE – und der seltsame Wecker,2010-02-05,6.9755789473684215,"['Mystery', 'Thriller', 'Crime']",0.0,144.0,de,-1333 days,Sommersemester 06,Tuesday,2006-06-13,87
5,Moi et mon blanc,Moi et mon blanc,2003-05-19,6.9755789473684215,,0.0,97.0,fr,1128 days,Sommersemester 06,Tuesday,2006-06-20,30
6,Underexposure,Underexposure,2005-08-04,6.9755789473684215,,0.0,65.0,en,355 days,Sommersemester 06,Tuesday,2006-07-25,21
7,Art War,Art of War,2024-03-18,6.75035,['Drama'],0.0,95.0,zh,-3596 days,Sommersemester 14,Wednesday,2014-05-14,6
8,Aladdin,Aladdin,2019-05-22,7.108,"['Adventure', 'Fantasy', 'Romance', 'Family']",183000000.0,127.0,en,-1799 days,Sommersemester 14,Wednesday,2014-06-18,32
9,Lunchbox,Lunchbox,2019-01-09,6.75035,['Drama'],0.0,11.0,cs,-1659 days,Sommersemester 14,Wednesday,2014-06-25,18
10,Sytemsprenger,,,7.346052631578947,,,,,,Wintersemester 1920,Wednesday,2019-11-13,451
11,Laurence Always,,,7.346052631578947,,,,,,Wintersemester 1920,Wednesday,2019-12-04,14
12,Liebeslied,Liebeslied,2009-12-10,6.604833333333334,,0.0,94.0,de,131 days,Sommersemester 10,Tuesday,2010-04-20,40
13,Alice In Wonderland 1951,,,6.604833333333334,,,,,,Sommersemester 10,Tuesday,2010-05-11,111
14,Afrikawoche: In My Country,,,6.604833333333334,,,,,,Sommersemester 10,Tuesday,2010-06-08,33
15,Alice In Wonderland 2010,,,6.604833333333334,,,,,,Sommersemester 10,Wednesday,2010-06-30,140
16,Tiger & Dragon,Tiger 3,2023-11-12,5.792,"['Action', 'Adventure', 'Thriller']",38000000.0,155.0,hi,-305 days,Wintersemester 2223,Wednesday,2023-01-11,0
17,Auf der anderen Seite der Leinwand + Ferdinand der Stier,,,6.924052631578948,,,,,,Wintersemester 1011,Wednesday,2010-10-27,10
18,Die Konferenz der Tiere  + Der Conny ihr Pony,,,6.924052631578948,,,,,,Wintersemester 1011,Wednesday,2010-11-24,22
19,#9  + Bob,,,6.924052631578948,,,,,,Wintersemester 1011,Wednesday,2010-12-08,16
20,The Jungle Book  + Wallace & Gromit: Unter Schafen,,,6.924052631578948,,,,,,Wintersemester 1011,Wednesday,2010-12-22,37
21,Fantastic Mr. Fox  + Ein Leben in der Schachtel,,,6.924052631578948,,,,,,Wintersemester 1011,Wednesday,2011-01-19,27
22,RR - Railroad,,,6.924052631578948,,,,,,Wintersemester 1011,Tuesday,2011-02-08,1
23,Im Westen nichts Neues,All Quiet on the Western Front,2022-10-07,7.738,"['Drama', 'War', 'Action']",20000000.0,147.0,de,-6156 days,Wintersemester 0506,Tuesday,2005-11-29,61
24,Frida,Frida,2024-03-08,7.9,['Documentary'],0.0,87.0,en,-6603 days,Wintersemester 0506,Wednesday,2006-02-08,81
25,Promised Land,The Promised Land,2023-10-05,7.681,"['History', 'Drama']",8500000.0,127.0,da,-3614 days,Wintersemester 1314,Tuesday,2013-11-12,18
26,Drecksau,Harrinator,2017-10-22,6.552375,['Comedy'],0.0,90.0,de,-1370 days,Wintersemester 1314,Tuesday,2014-01-21,24
27,Bastard,Bastard,2015-10-16,4.7,['Horror'],0.0,82.0,en,-619 days,Wintersemester 1314,Tuesday,2014-02-04,3
28,Texas Chainsaw Massacre,Texas Chainsaw Massacre,2022-02-18,5.214,"['Horror', 'Thriller']",20000000.0,83.0,en,-2669 days,Wintersemester 1415,Wednesday,2014-10-29,23
29,Grand Budapest Vietnam,,,6.894187499999999,,,,,,Wintersemester 1415,Tuesday,2014-11-11,91
30,Dallas Buyer Club,,,6.894187499999999,,,,,,Wintersemester 1415,Tuesday,2014-11-18,132
31,Jackpot,Jackpot,2024-08-15,6.894187499999999,"['Action', 'Comedy']",0.0,0.0,en,-3544 days,Wintersemester 1415,Tuesday,2014-12-02,9
