Date,Titel,Attendance
2015-04-14,Maze Runner,12
2015-04-21,The Zero Theorem,20
2015-04-22,Heute gehe ich allein nach Hause,20
2015-04-28,Ein Schotte macht noch keinen Sommer,15
2015-05-05,Good Vibrations,8
2015-05-06,Ida,15
2015-05-12,Eine Taube sitzt auf einem Zweig und denkt über das Leben nach,19
2015-05-13,Das Mädchen Hirut,28
2015-05-19,Einer nach dem anderen,14
2015-05-20,Pride,25
2015-06-02,The gambler,11
2015-06-03,Black Ice,20
2015-06-09,Wir waren Könige,9
2015-06-10,Interstellar,73
2015-07-01,Wild Tales ,6
2015-06-23,Baymax,69
2015-06-24,Die Legende der Prinzessin Kaguya,93
2015-06-30,Into the woods,50
2015-07-07,Birdman,51
2015-07-08,Der wundersame Katzenfisch,3
2015-07-14,St. Vincent,11
