Date,Titel,Attendance
2014-10-28,5 Zimmer Küche Sarg,112
2014-10-29,Texas Chainsaw Massacre,23
2014-11-04,Good Morning Vietnam,50
2014-11-11,Grand Budapest Vietnam,91
2014-11-18,Dallas Buyer Club,132
2014-11-25,Blackfish,12
2014-11-26,Much Ado about nothing,27
2014-12-02,Jackpot,9
2014-12-03,Zulu,18
2014-12-09,Monsieur Claude und seine Töchter,186
2014-12-10,Mandela,34
2014-12-16,Die Karte meiner Träume,28
2014-12-17,Jack und das Kuckucksuhrherz,17
2015-01-06,Enemy,35
2015-01-07,Splice,28
2015-01-13,Saving Mr. Banks,26
2015-01-14,Marry Poppins,36
2015-01-20,Guardians of the Galaxy,119
2015-01-21,Feuerwerk am hellichten Tag,7
2015-01-27,Snowpiercer,38
2015-02-03,American hustle,16
2015-02-10,Gott verhüte,33
